,image,object,probability,coordinates
391,D:/50fotos\N30051000398401\N30051000398401_0001.tif,person,0.26,"[1342, 1110, 1464, 1390]"
392,D:/50fotos\N30051000398401\N30051000398401_0001.tif,person,0.25,"[609, 1403, 752, 1859]"
393,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.88,"[1920, 801, 2259, 1960]"
394,D:/50fotos\N30051000398427\N30051000398427_0001.tif,bicycle,0.86,"[59, 1714, 351, 2300]"
395,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.85,"[699, 785, 1082, 2196]"
396,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.84,"[271, 846, 792, 2286]"
397,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.81,"[2176, 820, 2453, 1935]"
398,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.74,"[1686, 840, 1978, 1987]"
399,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.7,"[1403, 765, 1742, 2041]"
400,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.67,"[1163, 957, 1477, 2058]"
401,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.59,"[2472, 778, 2811, 1884]"
402,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.49,"[2684, 717, 2888, 1818]"
403,D:/50fotos\N30051000398427\N30051000398427_0001.tif,tie,0.42,"[917, 1001, 957, 1134]"
404,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.4,"[2346, 834, 2579, 1876]"
405,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.38,"[354, 666, 633, 946]"
406,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.37,"[61, 860, 335, 1778]"
407,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.37,"[952, 810, 1247, 2066]"
408,D:/50fotos\N30051000398427\N30051000398427_0001.tif,person,0.31,"[61, 857, 343, 2215]"
409,D:/50fotos\N30051000398435\N30051000398435_0001.tif,person,0.63,"[399, 1239, 542, 1449]"
410,D:/50fotos\N30051000398435\N30051000398435_0001.tif,person,0.53,"[800, 1661, 1007, 1892]"
411,D:/50fotos\N30051000398435\N30051000398435_0001.tif,person,0.52,"[1601, 1269, 1819, 1793]"
412,D:/50fotos\N30051000398435\N30051000398435_0001.tif,person,0.41,"[991, 1671, 1219, 1963]"
413,D:/50fotos\N30051000398435\N30051000398435_0001.tif,person,0.29,"[1257, 1656, 1495, 1977]"
414,D:/50fotos\N30051000398435\N30051000398435_0001.tif,person,0.26,"[2432, 1727, 2658, 2003]"
415,D:/50fotos\N30051000398435\N30051000398435_0001.tif,person,0.26,"[82, 1681, 322, 1988]"
416,D:/50fotos\N30051000398443\N30051000398443_0001.tif,person,0.97,"[176, 311, 2039, 2753]"
417,D:/50fotos\N30051000398443\N30051000398443_0001.tif,tie,0.53,"[798, 1166, 992, 1574]"
418,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.86,"[1150, 1213, 1435, 1992]"
419,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.86,"[1430, 1118, 1758, 1969]"
420,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.86,"[143, 1262, 410, 1969]"
421,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.83,"[642, 1202, 914, 2020]"
422,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.81,"[1700, 1225, 1914, 1929]"
423,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.81,"[892, 1218, 1164, 2024]"
424,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.79,"[1889, 1184, 2071, 1896]"
425,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.76,"[1099, 689, 1365, 1216]"
426,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.76,"[1613, 871, 1875, 1296]"
427,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.75,"[2568, 1030, 2747, 1810]"
428,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.75,"[2274, 970, 2527, 1838]"
429,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.7,"[211, 605, 614, 1671]"
430,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.67,"[409, 859, 789, 1712]"
431,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.66,"[2039, 1190, 2194, 1876]"
432,D:/50fotos\N30051000398450\N30051000398450_0001.tif,tie,0.66,"[1687, 996, 1761, 1133]"
433,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.65,"[2490, 1033, 2671, 1759]"
434,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.61,"[1331, 889, 1591, 1583]"
435,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.56,"[2152, 1263, 2296, 1829]"
436,D:/50fotos\N30051000398450\N30051000398450_0001.tif,tie,0.46,"[361, 779, 393, 842]"
437,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.39,"[952, 918, 1258, 1387]"
438,D:/50fotos\N30051000398450\N30051000398450_0001.tif,person,0.3,"[952, 917, 1240, 1254]"
439,D:/50fotos\N30051000398476\N30051000398476_0001.tif,clock,0.87,"[1217, 357, 1911, 952]"
440,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.7,"[1090, 2119, 1255, 2335]"
441,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.7,"[1383, 1433, 1507, 1563]"
442,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.64,"[1587, 1426, 1730, 1561]"
443,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.62,"[1255, 1441, 1375, 1562]"
444,D:/50fotos\N30051000398476\N30051000398476_0001.tif,chair,0.61,"[2566, 2065, 2782, 2333]"
445,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.56,"[754, 1260, 906, 1418]"
446,D:/50fotos\N30051000398476\N30051000398476_0001.tif,chair,0.49,"[2164, 1518, 2318, 1713]"
447,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.48,"[2734, 2159, 2921, 2337]"
448,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.47,"[646, 1864, 775, 1998]"
449,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.47,"[1211, 1859, 1358, 2112]"
450,D:/50fotos\N30051000398476\N30051000398476_0001.tif,chair,0.46,"[2683, 1529, 2822, 1711]"
451,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.46,"[209, 2007, 353, 2142]"
452,D:/50fotos\N30051000398476\N30051000398476_0001.tif,potted plant,0.43,"[1925, 1431, 2060, 1574]"
453,D:/50fotos\N30051000398476\N30051000398476_0001.tif,chair,0.42,"[2240, 2160, 2372, 2297]"
454,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.38,"[1746, 1434, 1880, 1562]"
455,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.37,"[1893, 1926, 2033, 2097]"
456,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.34,"[885, 2006, 1093, 2324]"
457,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.34,"[2176, 1911, 2386, 2108]"
458,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.33,"[609, 1913, 775, 2290]"
459,D:/50fotos\N30051000398476\N30051000398476_0001.tif,chair,0.33,"[2233, 2164, 2479, 2335]"
460,D:/50fotos\N30051000398476\N30051000398476_0001.tif,chair,0.31,"[1247, 2068, 1418, 2319]"
461,D:/50fotos\N30051000398476\N30051000398476_0001.tif,chair,0.31,"[811, 2071, 925, 2337]"
462,D:/50fotos\N30051000398476\N30051000398476_0001.tif,dining table,0.3,"[2311, 1559, 2716, 1708]"
463,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.3,"[1711, 1878, 1853, 2024]"
464,D:/50fotos\N30051000398476\N30051000398476_0001.tif,chair,0.28,"[1360, 2203, 1495, 2337]"
465,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.28,"[2365, 1985, 2480, 2192]"
466,D:/50fotos\N30051000398476\N30051000398476_0001.tif,chair,0.28,"[813, 2075, 975, 2338]"
467,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.27,"[1087, 1899, 1214, 2013]"
468,D:/50fotos\N30051000398476\N30051000398476_0001.tif,dining table,0.27,"[2716, 2097, 2920, 2178]"
469,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.26,"[2356, 1982, 2482, 2255]"
470,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.26,"[2474, 1465, 2600, 1572]"
471,D:/50fotos\N30051000398476\N30051000398476_0001.tif,person,0.26,"[2578, 1946, 2739, 2210]"
472,D:/50fotos\N30051000398476\N30051000398476_0001.tif,chair,0.25,"[2183, 2092, 2382, 2260]"
473,D:/50fotos\N30051000398484\N30051000398484_0001.tif,person,0.93,"[762, 524, 1716, 2192]"
474,D:/50fotos\N30051000398484\N30051000398484_0001.tif,person,0.92,"[2540, 1074, 2942, 2242]"
475,D:/50fotos\N30051000398484\N30051000398484_0001.tif,person,0.91,"[1803, 387, 2128, 1578]"
476,D:/50fotos\N30051000398484\N30051000398484_0001.tif,person,0.9,"[1315, 858, 1736, 2244]"
477,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.79,"[922, 1124, 1165, 1605]"
478,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.76,"[2027, 914, 2207, 1554]"
479,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.76,"[766, 443, 892, 795]"
480,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.74,"[1340, 1062, 1474, 1614]"
481,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.73,"[487, 429, 667, 769]"
482,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.67,"[372, 1805, 529, 2005]"
483,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.67,"[691, 1773, 839, 1944]"
484,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.66,"[664, 422, 795, 764]"
485,D:/50fotos\N30051000398492\N30051000398492_0001.tif,sink,0.58,"[1440, 1243, 1718, 1469]"
486,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.54,"[1196, 549, 1353, 811]"
487,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.54,"[1042, 538, 1183, 821]"
488,D:/50fotos\N30051000398492\N30051000398492_0001.tif,person,0.46,"[161, 446, 335, 886]"
489,D:/50fotos\N30051000398492\N30051000398492_0001.tif,backpack,0.34,"[813, 1492, 1162, 1917]"
490,D:/50fotos\N30051000398500\N30051000398500_0001.tif,person,0.91,"[420, 828, 1204, 1671]"
491,D:/50fotos\N30051000398500\N30051000398500_0001.tif,person,0.87,"[1624, 627, 1986, 1634]"
492,D:/50fotos\N30051000398500\N30051000398500_0001.tif,person,0.86,"[1991, 656, 2343, 1672]"
493,D:/50fotos\N30051000398500\N30051000398500_0001.tif,person,0.78,"[1194, 633, 1579, 1622]"
494,D:/50fotos\N30051000398500\N30051000398500_0001.tif,handbag,0.44,"[2069, 1010, 2337, 1274]"
495,D:/50fotos\N30051000398526\N30051000398526_0001.tif,person,0.93,"[616, 754, 1091, 1507]"
496,D:/50fotos\N30051000398526\N30051000398526_0001.tif,person,0.91,"[1810, 1159, 2639, 1764]"
497,D:/50fotos\N30051000398526\N30051000398526_0001.tif,person,0.91,"[1437, 502, 1860, 1630]"
498,D:/50fotos\N30051000398526\N30051000398526_0001.tif,person,0.89,"[62, 869, 351, 1403]"
499,D:/50fotos\N30051000398526\N30051000398526_0001.tif,person,0.86,"[1168, 502, 1491, 1528]"
500,D:/50fotos\N30051000398526\N30051000398526_0001.tif,baseball bat,0.81,"[1558, 987, 1895, 1639]"
501,D:/50fotos\N30051000398526\N30051000398526_0001.tif,chair,0.46,"[907, 1719, 1225, 1989]"
502,D:/50fotos\N30051000398526\N30051000398526_0001.tif,refrigerator,0.4,"[629, 290, 1391, 1363]"
503,D:/50fotos\N30051000398526\N30051000398526_0001.tif,chair,0.34,"[532, 1653, 832, 1988]"
504,D:/50fotos\N30051000398526\N30051000398526_0001.tif,chair,0.28,"[841, 986, 1198, 1455]"
505,D:/50fotos\N30051000398526\N30051000398526_0001.tif,baseball bat,0.28,"[1079, 695, 1433, 1329]"
506,D:/50fotos\N30051000398534\N30051000398534_0001.tif,person,0.92,"[1815, 156, 2346, 2853]"
507,D:/50fotos\N30051000398534\N30051000398534_0001.tif,person,0.82,"[947, 128, 1827, 2855]"
508,D:/50fotos\N30051000398534\N30051000398534_0001.tif,bicycle,0.79,"[342, 1323, 643, 2080]"
509,D:/50fotos\N30051000398534\N30051000398534_0001.tif,person,0.77,"[495, 394, 660, 760]"
510,D:/50fotos\N30051000398534\N30051000398534_0001.tif,person,0.75,"[85, 562, 185, 817]"
511,D:/50fotos\N30051000398534\N30051000398534_0001.tif,person,0.69,"[1604, 341, 2037, 2807]"
512,D:/50fotos\N30051000398534\N30051000398534_0001.tif,person,0.59,"[1179, 476, 1353, 746]"
513,D:/50fotos\N30051000398534\N30051000398534_0001.tif,person,0.58,"[443, 321, 814, 1917]"
514,D:/50fotos\N30051000398534\N30051000398534_0001.tif,cell phone,0.57,"[970, 354, 1044, 513]"
515,D:/50fotos\N30051000398534\N30051000398534_0001.tif,person,0.48,"[290, 568, 371, 787]"
516,D:/50fotos\N30051000398534\N30051000398534_0001.tif,person,0.48,"[445, 603, 502, 777]"
517,D:/50fotos\N30051000398534\N30051000398534_0001.tif,person,0.36,"[1091, 479, 1205, 643]"
518,D:/50fotos\N30051000398534\N30051000398534_0001.tif,fire hydrant,0.33,"[575, 1042, 1171, 2731]"
519,D:/50fotos\N30051000398534\N30051000398534_0001.tif,umbrella,0.25,"[1627, 339, 1954, 498]"
520,D:/50fotos\N30051000398542\N30051000398542_0001.tif,person,0.93,"[201, 857, 692, 2377]"
521,D:/50fotos\N30051000398542\N30051000398542_0001.tif,bicycle,0.93,"[879, 1292, 1977, 2492]"
522,D:/50fotos\N30051000398542\N30051000398542_0001.tif,bicycle,0.61,"[506, 1431, 835, 2133]"
523,D:/50fotos\N30051000398542\N30051000398542_0001.tif,motorcycle,0.61,"[570, 909, 745, 1043]"
524,D:/50fotos\N30051000398559\N30051000398559_0001.tif,cat,0.77,"[69, 139, 1616, 1137]"
525,D:/50fotos\N30051000398575\N30051000398575_0001.tif,person,0.92,"[727, 201, 2092, 2945]"
526,D:/50fotos\N30051000398575\N30051000398575_0001.tif,person,0.88,"[81, 964, 786, 2511]"
527,D:/50fotos\N30051000398575\N30051000398575_0001.tif,chair,0.55,"[282, 1902, 855, 2712]"
528,D:/50fotos\N30051000398575\N30051000398575_0001.tif,book,0.37,"[1768, 1488, 2325, 2044]"
