,image,object,probability,coordinates,check
0,N30051001509972,person,0.93,"[351, 1236, 1749, 2852]",True
1,N30051001509972,surfboard,0.39,"[781, 319, 1312, 1805]",False
2,N30051001450268,person,0.61,"[281, 636, 2063, 2871]",True
3,N30051001450268,person,0.44,"[659, 636, 1835, 2874]",True
4,N30051001450268,bed,0.35,"[279, 1001, 2070, 2872]",False
5,N30051000586690,person,0.92,"[661, 252, 2006, 2385]",True
6,N30051000586690,tie,0.87,"[1221, 843, 1450, 1672]",True
7,N30051000586690,wine glass,0.74,"[370, 2632, 569, 2893]",True
8,N30051000586690,book,0.36,"[668, 2343, 1491, 2771]",True
9,N30051002738588,person,0.73,"[1029, 889, 2760, 3481]",True
10,N30051002738588,bench,0.37,"[340, 31, 3654, 3497]",False
11,N30051002738588,elephant,0.33,"[5, 3170, 1374, 3514]",
12,N30051002285523,car,0.76,"[127, 1593, 389, 1735]",
13,N30051002285523,bicycle,0.6,"[334, 1615, 583, 1762]",
14,N30051002285523,bicycle,0.54,"[590, 1614, 812, 1761]",
15,N30051002285523,car,0.45,"[2818, 1611, 2954, 1673]",
16,N30051002285523,car,0.43,"[2497, 1616, 2658, 1670]",
17,N30051002285523,bicycle,0.39,"[1064, 1627, 1268, 1749]",
18,N30051002285523,bicycle,0.35,"[785, 1631, 954, 1756]",
19,N30051002285523,car,0.3,"[2637, 1612, 2758, 1665]",
20,N30051000454105,book,0.95,"[1329, 1517, 2720, 2660]",
21,N30051000454105,person,0.92,"[459, 547, 2665, 2729]",
22,N30051000454105,person,0.72,"[1695, 283, 2695, 1733]",
23,N30051000454105,book,0.6,"[2538, 1955, 3112, 2438]",
24,N30051000454105,vase,0.54,"[1959, 545, 2043, 683]",
25,N30051000454105,book,0.37,"[2508, 2312, 2908, 2542]",
26,N30051000454105,dinning table,0.32,"[552, 1817, 3110, 2712]",
27,N30051000454105,chair,0.27,"[1533, 1381, 1815, 1588]",
28,N30051000454105,dinning table,0.26,"[766, 1496, 3112, 2713]",
29,N30051001460846,person,0.91,"[174, 509, 845, 2299]",
30,N30051001460846,person,0.91,"[1699, 755, 2624, 2154]",
31,N30051001460846,person,0.85,"[791, 1172, 1474, 2289]",
32,N30051001460846,person,0.82,"[553, 602, 971, 1922]",
33,N30051001460846,person,0.76,"[1380, 737, 1674, 1218]",
34,N30051001460846,person,0.72,"[1520, 723, 1727, 1091]",
35,N30051001460846,person,0.67,"[1930, 391, 2437, 1426]",
36,N30051001460846,bowl,0.66,"[1665, 1082, 1829, 1165]",
37,N30051001460846,person,0.63,"[741, 503, 980, 1164]",
38,N30051001460846,person,0.61,"[882, 570, 1233, 1243]",
39,N30051001460846,person,0.61,"[1113, 1128, 1512, 1938]",
40,N30051001460846,person,0.56,"[1216, 750, 1564, 1430]",
41,N30051001460846,person,0.56,"[1117, 559, 1256, 918]",
42,N30051001460846,person,0.43,"[63, 510, 297, 2306]",
43,N30051001460846,handbag,0.42,"[1582, 1606, 1838, 1975]",
44,N30051001460846,person,0.4,"[1581, 580, 1802, 926]",
45,N30051001460846,chair,0.37,"[2011, 1187, 2647, 2206]",
46,N30051001460846,tie,0.32,"[817, 713, 911, 943]",
47,N30051001460846,chair,0.28,"[2584, 1138, 2773, 1448]",
48,N30051001460846,tie,0.28,"[722, 940, 884, 1299]",
49,N30051001460846,handbag,0.27,"[1585, 1609, 2039, 2002]",
50,N30051001460846,person,0.26,"[1204, 742, 1561, 1929]",
51,N30051001441200,person,0.94,"[1783, 509, 2555, 2387]",
52,N30051001441200,person,0.92,"[482, 549, 1276, 2387]",
53,N30051001441200,person,0.91,"[1115, 535, 1792, 2391]",
54,N30051001441200,person,0.88,"[2422, 1108, 2828, 2166]",
55,N30051001441200,chair,0.86,"[77, 1462, 539, 2391]",
56,N30051001441200,person,0.79,"[422, 698, 750, 1136]",
57,N30051001441200,person,0.61,"[71, 782, 282, 1321]",
58,N30051001441200,person,0.6,"[181, 772, 414, 1043]",
59,N30051001441200,person,0.53,"[173, 1015, 500, 1487]",
60,N30051001441200,tie,0.52,"[1383, 919, 1489, 1163]",
61,N30051001441200,person,0.51,"[1698, 1079, 1871, 1381]",
62,N30051001441200,book,0.35,"[1460, 1330, 1792, 1476]",
63,N30051000830023,person,0.86,"[2094, 666, 2405, 1819]",
64,N30051000830023,person,0.8,"[1091, 835, 1241, 1319]",
65,N30051000830023,person,0.76,"[1218, 853, 1346, 1305]",
66,N30051000830023,person,0.75,"[1974, 741, 2179, 1598]",
67,N30051000830023,person,0.72,"[1308, 840, 1443, 1289]",
68,N30051000830023,person,0.71,"[918, 851, 1094, 1295]",
69,N30051000830023,person,0.65,"[2639, 779, 2775, 1194]",
70,N30051000830023,person,0.63,"[2438, 767, 2571, 1190]",
71,N30051000830023,person,0.56,"[1923, 714, 2065, 1357]",
72,N30051000830023,person,0.56,"[1822, 807, 1967, 1225]",
73,N30051000830023,potted plant,0.54,"[551, 956, 1256, 1877]",
74,N30051000830023,person,0.41,"[2558, 776, 2667, 1162]",
75,N30051000830023,person,0.4,"[1757, 822, 1861, 1167]",
76,N30051000830023,person,0.33,"[2327, 777, 2444, 1201]",
77,N30051000830023,potted plant,0.29,"[458, 878, 566, 981]",
78,N30051000830023,potted plant,0.28,"[83, 899, 196, 997]",
79,N30051000830023,person,0.26,"[1038, 845, 1130, 1302]",
80,N30051001443396,person,0.91,"[1052, 675, 1579, 1695]",
81,N30051001443396,person,0.91,"[1727, 712, 2075, 1633]",
82,N30051001443396,car,0.87,"[2418, 1197, 2665, 1420]",
83,N30051001443396,bicycle,0.85,"[2051, 1109, 2431, 1926]",
84,N30051001443396,bicycle,0.84,"[1051, 1122, 1541, 1985]",
85,N30051001443396,person,0.82,"[1996, 666, 2478, 1543]",
86,N30051001443396,bicycle,0.82,"[550, 1188, 977, 1965]",
87,N30051001443396,person,0.81,"[537, 670, 1041, 1613]",
88,N30051001443396,bicycle,0.78,"[1736, 1145, 2063, 1852]",
89,N30051001443396,person,0.65,"[1647, 1231, 1699, 1387]",
90,N30051001443396,person,0.64,"[1724, 1243, 1761, 1355]",
91,N30051001443396,tie,0.53,"[2217, 878, 2257, 968]",
92,N30051001441184,chair,0.91,"[2211, 1692, 2924, 2403]",
93,N30051001441184,dinning table,0.86,"[1298, 1467, 2626, 2402]",
94,N30051001441184,person,0.86,"[836, 1071, 1550, 2246]",
95,N30051001441184,umbrella,0.82,"[865, 188, 2409, 1449]",
96,N30051001441184,chair,0.79,"[704, 1371, 1307, 2274]",
97,N30051001441184,person,0.73,"[1238, 1022, 1646, 1577]",
98,N30051001441184,cup,0.59,"[1980, 1572, 2082, 1664]",
99,N30051001441184,handbag,0.59,"[872, 2076, 1122, 2327]",
100,N30051001441184,cup,0.58,"[1689, 1456, 1764, 1546]",
101,N30051001441184,cup,0.51,"[1786, 1451, 1857, 1529]",
102,N30051001441184,chair,0.43,"[2547, 1600, 2922, 1901]",
103,N30051001441184,potted plant,0.42,"[269, 1568, 436, 1690]",
104,N30051001441184,person,0.42,"[1236, 1026, 1657, 2212]",
105,N30051001441184,cup,0.39,"[1789, 1450, 1877, 1537]",
106,N30051001441184,umbrella,0.38,"[864, 193, 2409, 674]",
107,N30051000587144,person,0.76,"[748, 1258, 1384, 2329]",
108,N30051000587144,person,0.75,"[358, 1263, 991, 2319]",
109,N30051000587144,person,0.74,"[62, 1315, 485, 2321]",
110,N30051000587144,person,0.73,"[1821, 1225, 2339, 2332]",
111,N30051000587144,person,0.71,"[2191, 1189, 2879, 2274]",
112,N30051000587144,person,0.65,"[1201, 1247, 1644, 2295]",
113,N30051000587144,tie,0.64,"[117, 1575, 212, 1820]",
114,N30051000587144,person,0.61,"[2470, 1150, 2894, 2096]",
115,N30051000587144,person,0.61,"[1516, 1160, 1926, 2329]",
116,N30051000587144,person,0.43,"[1004, 1047, 1310, 1557]",
117,N30051000587144,tie,0.42,"[1103, 1237, 1134, 1325]",
118,N30051000587144,person,0.41,"[578, 1057, 867, 1528]",
119,N30051000587144,person,0.4,"[791, 986, 1058, 1297]",
120,N30051000587144,tie,0.36,"[1865, 1254, 1913, 1413]",
121,N30051000587144,tie,0.32,"[2005, 1414, 2098, 1688]",
122,N30051000587144,person,0.31,"[1235, 969, 1461, 1265]",
123,N30051000587144,person,0.3,"[2184, 876, 2450, 1218]",
124,N30051000587144,tie,0.3,"[552, 1515, 587, 1607]",
125,N30051000587144,person,0.3,"[1403, 1022, 1606, 1496]",
126,N30051000587144,chair,0.26,"[889, 1791, 1281, 2233]",
127,N30051000587144,person,0.25,"[1998, 1026, 2284, 1475]",
128,N30051000587144,tie,0.25,"[2516, 1179, 2561, 1316]",
129,N30051000586930,chair,0.89,"[114, 1183, 609, 2126]",
130,N30051000586930,person,0.88,"[167, 619, 611, 1637]",
131,N30051000586930,person,0.87,"[583, 804, 1327, 2131]",
132,N30051000586930,chair,0.84,"[569, 1337, 1206, 2328]",
133,N30051000586930,laptop,0.75,"[1152, 892, 1421, 1190]",
134,N30051001453262,person,0.93,"[2311, 803, 2651, 1754]",
135,N30051001453262,person,0.91,"[1869, 364, 2341, 2003]",
136,N30051001453262,person,0.88,"[799, 546, 1253, 1954]",
137,N30051001453262,person,0.88,"[1437, 315, 1951, 1970]",
138,N30051001453262,person,0.87,"[1165, 583, 1615, 1981]",
139,N30051001453262,bicycle,0.84,"[592, 1162, 909, 1646]",
140,N30051001453262,tie,0.47,"[1612, 773, 1702, 1150]",
141,N30051001453262,tie,0.27,"[2457, 950, 2497, 1058]",
142,N30051000529328,person,0.56,"[962, 1663, 1456, 2323]",
143,N30051000529328,person,0.55,"[1345, 1824, 1818, 2325]",
144,N30051000529328,person,0.49,"[505, 1957, 873, 2326]",
145,N30051000529328,person,0.41,"[668, 1876, 1125, 2327]",
146,N30051000529328,person,0.4,"[1577, 1593, 1950, 2319]",
147,N30051000529328,person,0.39,"[1883, 1467, 2252, 2073]",
148,N30051000529328,person,0.37,"[2275, 1496, 2721, 2171]",
149,N30051000529328,person,0.36,"[2335, 1927, 2704, 2322]",
150,N30051000529328,person,0.35,"[64, 1953, 235, 2327]",
151,N30051000529328,person,0.34,"[787, 1549, 1036, 2065]",
152,N30051000529328,person,0.33,"[630, 1722, 824, 1952]",
153,N30051000529328,person,0.33,"[2601, 1488, 2903, 2192]",
154,N30051000529328,person,0.32,"[1874, 1872, 2298, 2322]",
155,N30051000529328,person,0.29,"[1547, 1592, 1680, 1856]",
156,N30051000529328,tie,0.29,"[2714, 1345, 2761, 1479]",
157,N30051000529328,person,0.29,"[206, 1735, 614, 2325]",
158,N30051000529328,person,0.27,"[1290, 1513, 1581, 1873]",
159,N30051000529328,person,0.26,"[443, 1565, 707, 1963]",
160,N30051000529328,person,0.25,"[1790, 1480, 1983, 1859]",
161,N30051001457719,car,0.82,"[61, 584, 1227, 1788]",
162,N30051001457719,car,0.8,"[61, 1751, 775, 2311]",
163,N30051001457719,car,0.73,"[663, 684, 2302, 1707]",
164,N30051001457719,person,0.48,"[843, 671, 972, 817]",
165,N30051001457719,person,0.32,"[1813, 712, 1848, 827]",
166,N30051001457719,person,0.32,"[1880, 700, 1929, 818]",
167,N30051001457719,person,0.28,"[1732, 710, 1780, 829]",
168,N30051001450052,person,0.83,"[452, 1102, 878, 2125]",
169,N30051001450052,dinning table,0.83,"[160, 1345, 2895, 2400]",
170,N30051001450052,person,0.8,"[325, 857, 726, 2109]",
171,N30051001450052,person,0.77,"[1518, 1252, 1858, 1659]",
172,N30051001450052,wine glass,0.77,"[1992, 1844, 2079, 2036]",
173,N30051001450052,wine glass,0.76,"[2358, 1741, 2430, 1884]",
174,N30051001450052,person,0.75,"[968, 1317, 1339, 1933]",
175,N30051001450052,wine glass,0.75,"[1239, 2219, 1356, 2415]",
176,N30051001450052,potted plant,0.73,"[2085, 591, 2822, 1231]",
177,N30051001450052,wine glass,0.72,"[971, 1985, 1049, 2136]",
178,N30051001450052,wine glass,0.7,"[1389, 2239, 1492, 2431]",
179,N30051001450052,wine glass,0.69,"[2093, 1851, 2179, 2028]",
180,N30051001450052,wine glass,0.68,"[535, 2083, 650, 2306]",
181,N30051001450052,wine glass,0.66,"[1028, 1889, 1117, 2083]",
182,N30051001450052,wine glass,0.65,"[2247, 1727, 2326, 1898]",
183,N30051001450052,wine glass,0.65,"[1693, 1978, 1803, 2218]",
184,N30051001450052,wine glass,0.63,"[1572, 1987, 1673, 2221]",
185,N30051001450052,person,0.58,"[1257, 1253, 1537, 1764]",
186,N30051001450052,chair,0.58,"[814, 1615, 1035, 2003]",
187,N30051001450052,wine glass,0.57,"[2753, 1452, 2833, 1604]",
188,N30051001450052,wine glass,0.56,"[2528, 1638, 2590, 1767]",
189,N30051001450052,wine glass,0.56,"[2653, 1557, 2718, 1682]",
190,N30051001450052,person,0.54,"[1768, 1213, 1965, 1646]",
191,N30051001450052,person,0.5,"[1910, 1184, 2140, 1563]",
192,N30051001450052,chair,0.5,"[55, 1814, 195, 2408]",
193,N30051001450052,wine glass,0.5,"[489, 2212, 608, 2412]",
194,N30051001450052,wine glass,0.5,"[1967, 1583, 2033, 1726]",
195,N30051001450052,wine glass,0.46,"[2583, 1547, 2641, 1683]",
196,N30051001450052,person,0.46,"[2337, 1073, 2598, 1418]",
197,N30051001450052,person,0.4,"[786, 1030, 1096, 1642]",
198,N30051001450052,person,0.39,"[1802, 1030, 1984, 1376]",
199,N30051001450052,person,0.38,"[2117, 1146, 2319, 1481]",
200,N30051001450052,wine glass,0.38,"[991, 2220, 1144, 2414]",
201,N30051001450052,person,0.37,"[1385, 1028, 1636, 1510]",
202,N30051001450052,wine glass,0.37,"[434, 2117, 533, 2288]",
203,N30051001450052,wine glass,0.37,"[957, 1959, 1050, 2134]",
204,N30051001450052,person,0.36,"[775, 995, 935, 1269]",
205,N30051001450052,person,0.35,"[1259, 927, 1474, 1278]",
206,N30051001450052,person,0.35,"[1078, 1097, 1314, 1503]",
207,N30051001450052,wine glass,0.35,"[2154, 1504, 2216, 1632]",
208,N30051001450052,person,0.33,"[1554, 960, 1810, 1312]",
209,N30051001450052,wine glass,0.33,"[434, 2115, 538, 2363]",
210,N30051001450052,chair,0.31,"[56, 1813, 137, 2090]",
211,N30051001450052,knife,0.31,"[831, 2019, 987, 2069]",
212,N30051001450052,potted plant,0.28,"[64, 1193, 319, 1351]",
213,N30051001450052,fork,0.25,"[1563, 2302, 1795, 2407]",
214,N30051002137864,car,0.85,"[786, 382, 2127, 1170]",
215,N30051002137864,person,0.84,"[1289, 697, 1768, 1395]",
216,N30051002137864,car,0.81,"[652, 435, 988, 578]",
217,N30051002137864,person,0.78,"[2298, 331, 2448, 596]",
218,N30051002137864,person,0.77,"[2220, 151, 2416, 509]",
219,N30051002137864,car,0.63,"[438, 429, 681, 571]",
220,N30051002137864,person,0.61,"[1941, 389, 2027, 561]",
221,N30051002137864,truck,0.54,"[2087, 82, 2899, 658]",
222,N30051002137864,car,0.54,"[874, 429, 1065, 544]",
223,N30051002137864,car,0.38,"[97, 552, 736, 1879]",
224,N30051002137864,truck,0.29,"[2442, 88, 2900, 656]",
225,N30051001452611,person,0.91,"[991, 627, 1512, 1468]",
226,N30051001452611,person,0.91,"[1807, 656, 2840, 2166]",
227,N30051001452611,person,0.91,"[1361, 830, 1983, 1599]",
228,N30051001452611,tie,0.85,"[622, 958, 691, 1367]",
229,N30051001452611,cup,0.68,"[424, 1542, 561, 1653]",
230,N30051001452611,dinning table,0.67,"[308, 1377, 2448, 2088]",
231,N30051001452611,person,0.66,"[241, 563, 1019, 2282]",
232,N30051001452611,cake,0.33,"[989, 1431, 1425, 1717]",
233,N30051001452611,person,0.32,"[1802, 649, 2497, 1459]",
234,N30051001452611,cake,0.32,"[464, 1650, 702, 1742]",
235,N30051001452611,book,0.3,"[989, 1431, 1426, 1719]",
236,N30051001452611,knife,0.26,"[1320, 1478, 1512, 1659]",
237,N30051001455655,person,0.92,"[77, 325, 564, 2098]",
238,N30051001455655,person,0.88,"[2347, 284, 2806, 2136]",
239,N30051001455655,person,0.86,"[1774, 250, 2509, 2122]",
240,N30051001455655,person,0.85,"[1109, 364, 1420, 2036]",
241,N30051001455655,person,0.84,"[1368, 294, 1833, 2096]",
242,N30051001455655,person,0.83,"[517, 400, 901, 2045]",
243,N30051001455655,person,0.81,"[744, 271, 1233, 2253]",
244,N30051001455655,handbag,0.79,"[2236, 920, 2677, 1374]",
245,N30051001455655,handbag,0.78,"[1561, 1376, 1907, 1847]",
246,N30051001455655,handbag,0.75,"[398, 955, 608, 1338]",
247,N30051001455655,person,0.73,"[1871, 208, 2142, 725]",
248,N30051001455655,person,0.63,"[1273, 206, 1569, 1262]",
249,N30051001455655,handbag,0.61,"[676, 1166, 839, 1510]",
250,N30051001455655,person,0.6,"[1725, 375, 2061, 1910]",
251,N30051001455655,person,0.52,"[2667, 438, 2911, 1587]",
252,N30051001455655,suitcase,0.37,"[1795, 881, 2215, 1744]",
253,N30051001455655,person,0.3,"[2321, 355, 2456, 619]",
254,N30051001443503,person,0.94,"[395, 534, 926, 2046]",
255,N30051001443503,person,0.93,"[2150, 558, 2771, 2081]",
256,N30051001443503,person,0.92,"[1221, 232, 1792, 2024]",
257,N30051001443503,person,0.89,"[889, 592, 1333, 1996]",
258,N30051001443503,person,0.88,"[1738, 617, 2211, 2013]",
259,N30051001460929,person,0.95,"[2410, 408, 3368, 2344]",
260,N30051001460929,person,0.88,"[398, 706, 1476, 2700]",
261,N30051001460929,person,0.85,"[2002, 333, 2404, 1127]",
262,N30051001460929,person,0.84,"[1477, 354, 2164, 1318]",
263,N30051001460929,person,0.83,"[1187, 419, 1697, 1352]",
264,N30051001460929,person,0.82,"[2003, 777, 3076, 2606]",
265,N30051001460929,person,0.79,"[1505, 913, 2843, 2700]",
266,N30051001460929,tie,0.67,"[1719, 689, 1785, 913]",
267,N30051001460929,person,0.64,"[1079, 886, 2421, 2700]",
268,N30051001460929,person,0.62,"[2364, 109, 3056, 754]",
269,N30051001460929,dinning table,0.54,"[66, 2082, 703, 2713]",
270,N30051001460929,cup,0.53,"[1776, 1303, 1899, 1464]",
271,N30051001460929,person,0.52,"[321, 342, 1180, 1709]",
272,N30051001460929,tie,0.5,"[2702, 734, 2793, 923]",
273,N30051001460929,cup,0.47,"[121, 2099, 199, 2260]",
274,N30051001460929,tie,0.45,"[925, 1197, 986, 1399]",
275,N30051001460929,tie,0.35,"[928, 1202, 1005, 1390]",
276,N30051001460929,tie,0.33,"[928, 1197, 1031, 1655]",
277,N30051001344081,person,0.92,"[207, 841, 1081, 2247]",
278,N30051001344081,person,0.92,"[1333, 1028, 1817, 2320]",
279,N30051001344081,person,0.91,"[815, 1011, 1368, 2365]",
280,N30051001344081,person,0.91,"[1754, 1026, 2211, 2320]",
281,N30051001344081,person,0.9,"[1202, 518, 1615, 1315]",
282,N30051001344081,person,0.87,"[1988, 809, 2608, 2093]",
283,N30051001344081,person,0.82,"[1595, 568, 2035, 1306]",
284,N30051001344081,chair,0.81,"[2526, 1354, 2783, 1923]",
285,N30051001344081,person,0.8,"[873, 601, 1183, 1087]",
286,N30051001344081,person,0.78,"[2687, 884, 2906, 1527]",
287,N30051001344081,tie,0.77,"[1518, 1294, 1576, 1522]",
288,N30051001344081,tie,0.76,"[1733, 775, 1792, 968]",
289,N30051001344081,tie,0.66,"[1043, 837, 1125, 1038]",
290,N30051001344081,tie,0.62,"[2056, 1062, 2113, 1249]",
291,N30051001344081,tie,0.57,"[813, 1118, 903, 1367]",
292,N30051001344081,tie,0.56,"[1391, 773, 1443, 966]",
293,N30051001344081,tie,0.55,"[852, 1120, 903, 1366]",
294,N30051001344081,chair,0.53,"[2060, 1529, 2369, 2161]",
295,N30051001344081,tie,0.45,"[1106, 1293, 1155, 1563]",
296,N30051001344081,tie,0.39,"[1107, 1297, 1157, 1458]",
297,N30051001344081,potted plant,0.3,"[281, 1187, 446, 1402]",
298,N30051001344081,chair,0.25,"[1771, 1528, 2371, 2172]",
299,N30051001457933,dog,0.94,"[193, 281, 1118, 1561]",
300,N30051001457933,person,0.9,"[932, 338, 2161, 2314]",
301,N30051001457933,chair,0.78,"[1119, 776, 2392, 2302]",
302,N30051001457933,couch,0.55,"[54, 433, 2358, 2304]",
303,N30051001457933,couch,0.32,"[66, 329, 1283, 2312]",
304,N30051001457933,vase,0.28,"[2471, 253, 2801, 517]",
305,N30051001457933,book,0.25,"[1202, 945, 1830, 1263]",
306,N30051000547460,person,0.84,"[2392, 1719, 2895, 2322]",
307,N30051000547460,person,0.77,"[1335, 685, 2443, 2314]",
308,N30051000547460,person,0.27,"[843, 686, 2441, 2312]",
309,N30051000587953,person,0.97,"[912, 185, 2916, 2321]",
310,N30051000587953,tie,0.9,"[1990, 1294, 2197, 2190]",
311,N30051000587953,chair,0.53,"[859, 1846, 999, 2318]",
312,N30051001510137,person,0.86,"[2048, 1503, 2179, 2028]",
313,N30051001510137,person,0.68,"[815, 1219, 1456, 2502]",
314,N30051001510137,person,0.64,"[1888, 1638, 1973, 1876]",
315,N30051001510137,bicycle,0.46,"[1849, 1752, 2057, 1894]",
316,N30051001510137,truck,0.31,"[431, 379, 1869, 2483]",
317,N30051001444758,person,0.94,"[2112, 1036, 2928, 2328]",
318,N30051001444758,person,0.91,"[1518, 977, 2501, 2320]",
319,N30051001444758,person,0.86,"[1057, 800, 1843, 2325]",
320,N30051001444758,person,0.86,"[355, 190, 1324, 2325]",
321,N30051001444758,person,0.85,"[25, 889, 730, 2333]",
322,N30051001444758,person,0.8,"[2161, 685, 2450, 1080]",
323,N30051001444758,person,0.78,"[2288, 751, 2693, 1592]",
324,N30051001444758,tie,0.75,"[1143, 1051, 1202, 1234]",
325,N30051001444758,tie,0.71,"[1928, 1449, 2030, 1987]",
326,N30051001444758,tie,0.69,"[2528, 1068, 2633, 1503]",
327,N30051001444758,person,0.56,"[1892, 726, 2315, 1353]",
328,N30051001444758,tie,0.54,"[2260, 936, 2300, 1074]",
329,N30051001444758,person,0.46,"[25, 885, 302, 1369]",
330,N30051001444758,person,0.45,"[192, 482, 458, 983]",
331,N30051001444758,tie,0.45,"[209, 1015, 268, 1135]",
332,N30051001444758,tie,0.41,"[878, 599, 1003, 1041]",
333,N30051001444758,person,0.35,"[1032, 732, 1403, 2315]",
334,N30051001444758,tie,0.32,"[874, 599, 1042, 1171]",
335,N30051001444758,tie,0.32,"[869, 602, 920, 740]",
336,N30051001444758,person,0.31,"[138, 717, 386, 1367]",
337,N30051001444758,person,0.31,"[192, 483, 457, 825]",
338,N30051001444758,person,0.27,"[1786, 593, 1941, 835]",
339,N30051001444758,person,0.27,"[24, 759, 122, 918]",
340,N30051001444758,person,0.27,"[1502, 690, 1675, 835]",
341,N30051001443461,person,0.93,"[2324, 1546, 2610, 2070]",
342,N30051001443461,person,0.92,"[1297, 1217, 1677, 2018]",
343,N30051001443461,bench,0.88,"[2082, 1588, 2316, 1776]",
344,N30051001443461,handbag,0.72,"[1276, 1680, 1364, 1886]",
345,N30051001456620,person,0.92,"[1487, 691, 1928, 1758]",
346,N30051001456620,person,0.91,"[1156, 767, 1500, 1644]",
347,N30051001456620,person,0.9,"[2047, 675, 2435, 1853]",
348,N30051001456620,person,0.9,"[902, 790, 1177, 1607]",
349,N30051001456620,person,0.89,"[712, 850, 951, 1540]",
350,N30051001456620,person,0.86,"[2721, 1020, 2910, 1470]",
351,N30051001456620,person,0.86,"[495, 913, 707, 1504]",
352,N30051001456620,bicycle,0.85,"[2688, 1225, 2924, 1489]",
353,N30051001456620,person,0.79,"[309, 1141, 406, 1313]",
354,N30051001456620,handbag,0.58,"[1830, 913, 1994, 1180]",
355,N30051001456620,tie,0.53,"[2297, 876, 2326, 972]",
356,N30051001456620,handbag,0.28,"[1098, 1124, 1185, 1236]",
357,N30051001456620,person,0.28,"[447, 1106, 521, 1320]",
358,N30051001456620,airplane,0.27,"[63, 272, 325, 1052]",
359,N30051001461349,person,0.87,"[1219, 330, 1801, 2342]",
360,N30051001461349,person,0.86,"[400, 332, 1084, 2345]",
361,N30051001461349,person,0.83,"[1653, 478, 2347, 2338]",
362,N30051001461349,book,0.35,"[710, 690, 1416, 1303]",
363,N30051001461349,person,0.35,"[1706, 473, 2351, 1288]",
364,N30051001461349,bottle,0.31,"[102, 1109, 395, 1268]",
365,N30051001461349,bottle,0.26,"[145, 1407, 488, 1703]",
366,N30051000587086,bicycle,0.91,"[77, 1797, 663, 2318]",
367,N30051000587086,person,0.88,"[439, 1272, 764, 2251]",
368,N30051000587086,person,0.69,"[193, 1247, 425, 2135]",
369,N30051000587086,person,0.68,"[2607, 1174, 2908, 1999]",
370,N30051000587086,person,0.62,"[115, 1336, 226, 1792]",
371,N30051000587086,person,0.55,"[2158, 1031, 2231, 1138]",
372,N30051000587086,person,0.52,"[2387, 1160, 2648, 1926]",
373,N30051000587086,person,0.45,"[76, 1256, 193, 2291]",
374,N30051000587086,handbag,0.44,"[429, 1407, 635, 1824]",
375,N30051000587086,bicycle,0.35,"[2133, 1577, 2465, 1927]",
376,N30051000587086,person,0.28,"[77, 1299, 188, 1807]",
377,N30051000587086,person,0.26,"[1757, 1132, 1855, 1372]",
378,N30051001457842,person,0.94,"[373, 547, 1570, 2286]",
379,N30051001457842,person,0.92,"[1578, 677, 2745, 2284]",
380,N30051001457842,person,0.91,"[1109, 165, 2053, 2281]",
381,N30051001457842,person,0.78,"[2635, 68, 2891, 2275]",
382,N30051001457842,tie,0.7,"[2192, 1295, 2262, 1524]",
383,N30051001457842,person,0.6,"[2275, 486, 2415, 713]",
384,N30051001457842,cake,0.49,"[1211, 1037, 1839, 1628]",
385,N30051001457842,person,0.43,"[1662, 425, 1871, 738]",
386,N30051001343984,person,0.92,"[425, 96, 2091, 2003]",
387,N30051001343984,chair,0.79,"[293, 1258, 756, 1999]",
388,N30051001343984,chair,0.7,"[1879, 690, 2753, 2004]",
389,N30051001343984,tie,0.66,"[1288, 892, 1382, 1055]",
390,N30051001452421,person,0.9,"[410, 233, 2214, 2704]",
391,N30051001452421,person,0.78,"[1322, 325, 2175, 2636]",
392,N30051001452421,person,0.64,"[57, 2090, 656, 2907]",
393,N30051001452421,person,0.61,"[1925, 1015, 2363, 2145]",
394,N30051001452421,person,0.3,"[1767, 1018, 2372, 2637]",
395,N30051001432233,car,0.81,"[1231, 1199, 1771, 1403]",
396,N30051001432233,person,0.8,"[1015, 1930, 1183, 2326]",
397,N30051001432233,person,0.74,"[411, 1955, 637, 2326]",
398,N30051001432233,person,0.7,"[2422, 1736, 2648, 2328]",
399,N30051001432233,person,0.66,"[689, 1447, 918, 1851]",
400,N30051001432233,person,0.65,"[911, 1463, 1055, 1920]",
401,N30051001432233,car,0.64,"[2462, 1261, 2897, 1831]",
402,N30051001432233,person,0.63,"[1236, 1457, 1430, 1971]",
403,N30051001432233,bus,0.6,"[2459, 1262, 2897, 1822]",
404,N30051001432233,person,0.59,"[1721, 1688, 1884, 2025]",
405,N30051001432233,person,0.58,"[1614, 2046, 1806, 2327]",
406,N30051001432233,person,0.48,"[1781, 1958, 1949, 2315]",
407,N30051001432233,person,0.48,"[1403, 1510, 1596, 1994]",
408,N30051001432233,person,0.41,"[2730, 1955, 2900, 2331]",
409,N30051001432233,person,0.4,"[325, 1912, 504, 2323]",
410,N30051001432233,person,0.36,"[2619, 1766, 2744, 2173]",
411,N30051001432233,person,0.32,"[2718, 1753, 2899, 2080]",
412,N30051001432233,person,0.31,"[508, 1505, 687, 1993]",
413,N30051001432233,car,0.3,"[626, 1191, 1144, 1349]",
414,N30051001432233,person,0.3,"[852, 1443, 944, 1812]",
415,N30051001432233,person,0.29,"[566, 1285, 656, 1459]",
416,N30051001432233,person,0.27,"[1544, 1438, 1690, 1741]",
